year,iso2,pais,forest_area_km2,ghg_total_incl_lulucf_mt_co2e,gdp_per_capita_const2015_usd,trade_pct_gdp,fdi_inflows_pct_gdp,renewable_energy_pct_final_energy,domestic_credit_private_pct_gdp,wgi_voice_accountability_est,co2_emissions_kt
1990,EC,Ecuador,146322.1,,3919.71758067093,44.5949122940278,0.826811116327478,24.2,,,
1991,EC,Ecuador,145420.39,,4000.56819787678,45.196639984556,0.941811624600907,24.2,,,
1992,EC,Ecuador,144518.68,,4000.03146191686,44.8065436522069,0.983738573731403,20.8,,,
1993,EC,Ecuador,143616.97,,3996.99377481811,43.1712184234683,2.50133095620069,21.6,,,
1994,EC,Ecuador,142715.26,,4087.34069011974,43.7777474951998,2.537928973021,20.9,,,
1995,EC,Ecuador,141813.55,,4100.68735341031,45.9112707318244,1.85193034031665,20.4,,,
1996,EC,Ecuador,140911.84,,4093.84154476335,44.2157026832153,1.98078257206972,19.3,,-0.1631172,
1997,EC,Ecuador,140010.13,,4192.85523208483,45.0171863180765,2.57065775466879,16.6,,,
1998,EC,Ecuador,139108.42,,4252.04348649475,43.395107949805,3.10908156656419,18.2,,-0.1103441,
1999,EC,Ecuador,138206.71,,3979.19293611513,49.2012507989376,3.30059048812225,19.6,,,
2000,EC,Ecuador,137305.0,85.3004,3953.39879728357,65.4042953826391,-0.133637950998727,19.4,,-0.349825599999999,
2001,EC,Ecuador,136602.69,88.8031,4049.0001889951,56.128486744205,2.32873824691471,17.1,,,
2002,EC,Ecuador,135900.38,88.5564,4174.89793579965,54.7966439366136,2.8951552675912,17.1,19.0719396318142,-0.1439229,
2003,EC,Ecuador,135198.07,90.1864,4220.21298466638,52.3575426975979,2.81449236195545,16.6,18.0551202336506,-0.1090056,
2004,EC,Ecuador,134495.76,93.4975,4430.23717984188,56.0745467239942,2.37801066697343,16.7,20.5413980220229,-0.1412869,
2005,EC,Ecuador,133793.45,93.9838,4589.32849203452,61.9581507902572,1.22499487397379,16.2,21.9843010481258,-0.1617977,
2006,EC,Ecuador,133091.14,95.9813,4706.98056823816,65.8423556166562,0.594056305145447,14.2,22.3312165490477,-0.1342305,
2007,EC,Ecuador,132388.83,95.0187,4715.30359842555,68.8505854462677,0.388921736574003,15.9,23.3804598593846,-0.0516943999999999,
2008,EC,Ecuador,131686.52,95.414,4939.90215021789,74.5902963648439,1.7294958127597,15.3,23.9648755618427,-0.1418374,
2009,EC,Ecuador,130984.21,98.3559,4909.33681705683,57.3473460627608,0.513570185696715,12.9,24.8896332211154,-0.133163199999999,
2010,EC,Ecuador,130281.9,101.1489,5022.20374387205,65.7773849135062,0.243419054034351,11.8,27.0843336858919,-0.1711153,
2011,EC,Ecuador,129863.88,100.4775,5359.45724615639,70.0356837525249,0.817966548837347,13.2,27.5915486903939,-0.183273,
2012,EC,Ecuador,129445.86,99.5696,5579.85624282158,67.0029290916898,0.646739602691481,13.2,28.44437278344,-0.339713999999999,
2013,EC,Ecuador,129027.84,102.0359,5893.32172683036,63.4333003342414,0.752903273859877,11.8,28.5522332055412,-0.3577029,
2014,EC,Ecuador,128609.82,103.1527,6055.04172761485,61.4263766217565,0.751953401658059,12.2,29.208430980274,-0.317060499999999,
2015,EC,Ecuador,128191.8,100.4096,5976.1596805651,47.8280397077826,1.36067004574537,13.1,29.9362613682185,-0.4061724,
2016,EC,Ecuador,127549.1,98.15,5849.13587933672,40.5344917996647,0.78469808886928,14.8,31.5046558000332,-0.3716661,
2017,EC,Ecuador,126906.4,92.7844,6104.27253521751,43.6177233172817,0.605279629548276,17.0,34.2208461040213,-0.326162599999999,
2018,EC,Ecuador,126263.7,89.5915,6063.0956178776,48.0093476154836,1.29342873266166,16.3,38.3374947486699,-0.1611409,
2019,EC,Ecuador,125621.0,90.0403,5971.38938386723,48.0828494933307,0.915058228783613,17.7,42.6915820194147,-0.1418141,
2020,EC,Ecuador,124978.3,84.2595,5355.68934196443,43.9893109378389,1.16754746598289,20.2,49.0557050652741,-0.1590886,
2021,EC,Ecuador,124335.6,93.0481,5815.09477390949,53.261275610573,0.607511454080008,18.9,49.7533981232754,-0.0753616999999999,
2022,EC,Ecuador,123692.9,96.6516,6107.49495006543,61.880792818786,0.759467924339618,,52.3799487703168,-0.0898423,
2023,EC,Ecuador,123050.2,98.9949,6174.81822806637,56.9977535649091,0.39702767894988,,54.4947251674632,-0.1241577,
