year,h,pobreza,gini,inflacion,r_h,rr_h,r_pobreza,rr_pobreza,r_gini,r_inflacion,rr_inflacion,_est_Autorregresivo,_est_Rezago_Distributivo,_est_Dinamico_General
2003,14.49,58.7,53.5,7.929364875,,,,,,,,0,0,0
2004,17.58,59.7,53.9,2.743231989,14.49,,58.700001,,53.5,7.9293647,,0,0,0
2005,15.34,51.9,53.1,2.168277012,17.58,14.49,59.700001,58.700001,53.900002,2.743232,7.9293647,1,1,1
2006,16.96,46.8,52.3,3.298748463,15.34,17.58,51.900002,59.700001,53.099998,2.168277,2.743232,1,1,1
2007,15.86318661,45.9,53.4,2.27618478,16.959999,15.34,46.799999,51.900002,52.299999,3.2987485,2.168277,1,1,1
2008,17.88654394,43.4,49.8,8.40009594,15.863187,16.959999,45.900002,46.799999,53.400002,2.2761848,3.2987485,1,1,1
2009,17.70543677,44.4,48.5,5.159968292,17.886543,15.863187,43.400002,45.900002,49.799999,8.4000959,2.2761848,1,1,1
2010,17.40434492,39.7,48.8,3.554377346,17.705437,17.886543,44.400002,43.400002,48.5,5.1599684,8.4000959,1,1,1
2011,15.28752038,35.9,45.9,4.474532658,17.404345,17.705437,39.700001,44.400002,48.799999,3.5543773,5.1599684,1,1,1
2012,12.34251256,32.6,46.1,5.10172181,15.28752,17.404345,35.900002,39.700001,45.900002,4.4745326,3.5543773,1,1,1
2013,10.91279867,32.5,46.9,2.721775777,12.342512,15.28752,32.599998,35.900002,46.099998,5.1017218,4.4745326,1,1,1
2014,8.169565506,28.7,45,3.589220166,10.912799,12.342512,32.5,32.599998,46.900002,2.7217758,5.1017218,1,1,1
2015,6.455093299,29.8,46,3.966646233,8.1695652,10.912799,28.700001,32.5,45,3.58922,2.7217758,1,1,1
2016,5.81031174,29.3,45,1.728264633,6.4550934,8.1695652,29.799999,28.700001,46,3.9666462,3.58922,1,1,1
2017,5.787755431,28.3,44.7,.417335589,5.8103118,6.4550934,29.299999,29.799999,45,1.7282647,3.9666462,1,1,1
2018,5.830067093,28.9,45.4,-.224103246,5.7877555,5.8103118,28.299999,29.299999,44.700001,.4173356,1.7282647,1,1,1
2019,6.845435572,30.6,45.7,.266012515,5.8300672,5.7877555,28.9,28.299999,45.400002,-.22410324,.4173356,1,1,1
2020,7.819417283,36,47.3,-.338872393,6.8454356,5.8300672,30.6,28.9,45.700001,.26601252,-.22410324,1,1,1
2021,14.11568739,33.5,45.8,.133251386,7.8194175,6.8454356,36,30.6,47.299999,-.3388724,.26601252,1,1,1
2022,27.41263597,30.9,45.5,3.466169722,14.115687,7.8194175,33.5,36,45.799999,.13325138,-.3388724,1,1,1
2023,45.72281452,30.8,44.6,2.215687642,27.412636,14.115687,30.9,33.5,45.5,3.4661698,.13325138,1,1,1
2024,40.4,32.6,45.2,1.547325156,45.722813,27.412636,30.799999,30.9,44.599998,2.2156878,3.4661698,1,1,1
